movieLink,movieID,name,AdjustedDomesticGross,ReleaseDate,Distributor,Genre,Budget,_merge,Release_Year,Release_Month,Year,w2_$_change,w2_rank_change,w3_$_change,w3_rank_change,w_1_date,w_1_gross,w_1_rank,w_2_date,w_2_gross,w_2_rank,w_3_date,w_3_gross,w_3_rank,Major_Genre,w1_$_drop,budget_val,adjusted_budget,abs_profit,rel_profit,w_1_success,w_1_and_2_success
/movies/?id=blooddonesignmyname.htm,id=blooddonesignmyname.htm,Blood Done Sign My Name,116000.0,2010-02-19,Paladin,Drama,$10 million,both,2010.0,2.0,2010.0,,,,,Feb 19-21,87700.0,36.0,,,,,,,Drama/Thriller,,10000000.0,10900000.0,-10784000.0,0.010642201834862385,0.008045871559633027,
/movies/?id=penton.htm,id=penton.htm,Penton: The John Penton Story,116000.0,2014-06-23,Gathr Films,Documentary,,both,2014.0,6.0,,,,,,,,,Jul 4-6,1400.0,,,,,Other,,,,,,,
/movies/?id=anohana.htm,id=anohana.htm,Anohana The Movie: The Flower We Saw That Day,116100.0,2014-01-18,Eleven Arts,Animation,,both,2014.0,1.0,2014.0,-60.2,-11.0,-94.6,-29.0,Jan 17-19,39700.0,45.0,Jan 24-26,15800.0,56.0,Jan 31-Feb 2,800.0,85.0,Animation,23900.0,,,,,,
/movies/?id=bronson.htm,id=bronson.htm,Bronson,116300.0,2009-10-09,Magnolia,Action Drama,,both,2009.0,10.0,2009.0,2.8,-3.0,-1.9,0.0,Oct 9-11,12100.0,71.0,Oct 16-18,12500.0,74.0,Oct 23-25,12200.0,74.0,Action/Adventure,-400.0,,,,,,
/movies/?id=romantics.htm,id=romantics.htm,The Romantics,116500.0,2010-09-10,Four of a Kind,Romantic Comedy,,both,2010.0,9.0,2010.0,-42.6,-6.0,-76.9,-30.0,Sep 10-12,49800.0,52.0,Sep 17-19,28600.0,58.0,Sep 24-26,6600.0,88.0,Romance,21200.0,,,,,,
/movies/?id=korhram.htm,id=korhram.htm,Korhram,116600.0,1999-08-03,Vid.,Unknown,,both,1999.0,8.0,1999.0,21.4,1.0,,,Aug 6-8,52600.0,60.0,Aug 13-15,63900.0,59.0,,,,Other,-11300.0,,,,,,
/movies/?id=injacksonheights.htm,id=injacksonheights.htm,In Jackson Heights,117300.0,2015-11-04,Zipporah Films,Documentary,,both,2015.0,11.0,2015.0,15.1,1.0,,,Nov 6-8,14700.0,60.0,Nov 13-15,16900.0,59.0,,,,Other,-2200.0,,,,,,
/movies/?id=perfectfamily.htm,id=perfectfamily.htm,The Perfect Family,117400.0,2012-05-04,Variance Films,Comedy,,both,2012.0,5.0,2012.0,114.0,15.0,-63.8,-14.0,May 4-6,14800.0,68.0,May 11-13,31800.0,53.0,May 18-20,11500.0,67.0,Comedy,-17000.0,,,,,,
/movies/?id=roadhard.htm,id=roadhard.htm,Road Hard,117500.0,2015-03-06,FilmBuff,Comedy,,both,2015.0,3.0,2015.0,,,,,Mar 6-8,110000.0,35.0,,,,,,,Comedy,,,,,,,
/movies/?id=civicduty.htm,id=civicduty.htm,Civic Duty,117600.0,2007-05-04,Freestyle Releasing,Drama,,both,2007.0,5.0,2007.0,-86.2,-39.0,-78.2,-25.0,May 4-6,67300.0,41.0,May 11-13,9300.0,80.0,May 18-20,2000.0,105.0,Drama/Thriller,58000.0,,,,,,
/movies/?id=followme.htm,id=followme.htm,Follow Me: The Yoni Netanyahu Story,117700.0,2012-05-04,International Film Circuit,Documentary,,both,2012.0,5.0,2012.0,-57.8,-17.0,586.0,45.0,May 4-6,8200.0,79.0,May 11-13,3500.0,96.0,May 18-20,23700.0,51.0,Other,4700.0,,,,,,
/movies/?id=restaurant.htm,id=restaurant.htm,Restaurant,117700.0,2000-01-28,Palisades Ent.,Unknown,,both,2000.0,1.0,2000.0,,,,,Jan 28-30,18400.0,,,,,,,,Other,,,,,,,
/movies/?id=mysteriesoflisbon.htm,id=mysteriesoflisbon.htm,Mysteries of Lisbon,117800.0,2011-08-05,Music Box Films,Foreign,,both,2011.0,8.0,2011.0,4.8,-1.0,-51.0,-9.0,Aug 5-7,13100.0,68.0,Aug 12-14,13700.0,69.0,Aug 19-21,6700.0,78.0,Other,-600.0,,,,,,
/movies/?id=shortkut.htm,id=shortkut.htm,"Short Kut, The Con Is On",117800.0,2009-07-10,Studio 18,Foreign,,both,2009.0,7.0,2009.0,-72.9,-19.0,-92.7,-37.0,Jul 10-12,66200.0,39.0,Jul 17-19,17900.0,58.0,Jul 24-26,1300.0,95.0,Other,48300.0,,,,,,
/movies/?id=andgodspoke.htm,id=andgodspoke.htm,And God Spoke,117900.0,1994-09-23,Artisan,Unknown,,both,1994.0,9.0,1994.0,,,,,Sep 23-25,38100.0,,,,,,,,Other,,,,,,,
/movies/?id=carriers.htm,id=carriers.htm,Carriers,117900.0,2009-09-04,Paramount Vantage,Horror,,both,2009.0,9.0,2009.0,,,,,Sep 4-6,86900.0,41.0,,,,,,,Horror,,,,,,,
/movies/?id=inthisworld.htm,id=inthisworld.htm,In This World,117900.0,2003-09-19,Sundance Film Series,Drama,,both,2003.0,9.0,2003.0,-15.1,-9.0,-51.9,-9.0,Sep 19-21,34400.0,67.0,Sep 26-28,29200.0,76.0,Oct 3-5,14000.0,85.0,Drama/Thriller,5200.0,,,,,,
/movies/?id=mommasman.htm,id=mommasman.htm,Momma's Man,117900.0,2008-08-22,Kino,Drama,,both,2008.0,8.0,2008.0,-17.3,-1.0,106.0,12.0,Aug 22-24,13000.0,78.0,Aug 29-31,10700.0,79.0,Sep 5-7,22100.0,67.0,Drama/Thriller,2300.0,,,,,,
